image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
kodim01,0.05,edsr,edsr_x4,1.0,0.0,40.44981736736779,0.9872301166368281,72.92660093307495,512,512
kodim01,0.1,edsr,edsr_x4,1.0,0.0,40.29894966833147,0.9868385666618034,,512,512
kodim01,0.2,edsr,edsr_x4,1.0,0.0,40.02361509937103,0.9861061505305786,75.44833588600159,512,512
kodim01,0.3,edsr,edsr_x4,1.0,0.0,39.74125222139537,0.9852771076430858,65.75953578948975,512,512
kodim02,0.05,edsr,edsr_x4,1.0,0.0,42.732846751994984,0.9787792023745725,70.86032104492188,512,512
kodim02,0.1,edsr,edsr_x4,1.0,0.0,42.64458725995589,0.9784680647696158,,512,512
kodim02,0.2,edsr,edsr_x4,1.0,0.0,42.46039340551646,0.9777180669859957,80.84671998023987,512,512
kodim02,0.3,edsr,edsr_x4,1.0,0.0,42.283135905831585,0.9770075805594125,76.69062304496765,512,512
kodim03,0.05,edsr,edsr_x4,1.0,0.0,42.43155864392294,0.9741667910296675,69.88128089904785,512,512
kodim03,0.1,edsr,edsr_x4,1.0,0.0,42.32570834812648,0.9737394204311965,,512,512
kodim03,0.2,edsr,edsr_x4,1.0,0.0,42.15190224324688,0.9729492071740106,72.94353294372559,512,512
kodim03,0.3,edsr,edsr_x4,1.0,0.0,41.98040397045284,0.9721452893540959,70.49021792411804,512,512
kodim04,0.05,edsr,edsr_x4,1.0,0.0,42.222141502723446,0.9805548361370245,69.8668761253357,512,512
kodim04,0.1,edsr,edsr_x4,1.0,0.0,42.1141056002621,0.9801814440208787,68.79107880592346,512,512
kodim04,0.2,edsr,edsr_x4,1.0,0.0,41.912154900971515,0.979493359788134,67.89508509635925,512,512
kodim04,0.3,edsr,edsr_x4,1.0,0.0,41.71251120024245,0.9787428428754964,68.9531946182251,512,512
kodim05,0.05,edsr,edsr_x4,1.0,0.0,38.39656387581768,0.9853419956962369,66.8564338684082,512,512
kodim05,0.1,edsr,edsr_x4,1.0,0.0,38.24141508472697,0.9848699519496508,73.36240887641907,512,512
kodim05,0.2,edsr,edsr_x4,1.0,0.0,37.89318187512178,0.9837624241429217,68.82629084587097,512,512
kodim05,0.3,edsr,edsr_x4,1.0,0.0,37.561104961117124,0.9826429507335906,64.22046494483948,512,512
kodim06,0.05,edsr,edsr_x4,0.99609375,0.001953125,40.10067040823345,0.9822664439612403,68.83487582206726,512,512
kodim06,0.1,edsr,edsr_x4,0.99609375,0.001953125,39.96027790615106,0.9818508180922989,70.0857789516449,512,512
kodim06,0.2,edsr,edsr_x4,0.998046875,0.0009765625,39.688837126075654,0.9810784053483692,68.70112705230713,512,512
kodim06,0.3,edsr,edsr_x4,0.998046875,0.0009765625,39.43268496545884,0.9802700368951546,67.70611572265625,512,512
kodim07,0.05,edsr,edsr_x4,1.0,0.0,40.22150487299257,0.9770148492758638,66.93434405326843,512,512
kodim07,0.1,edsr,edsr_x4,1.0,0.0,40.08845302883763,0.9765571844284128,69.3866639137268,512,512
kodim07,0.2,edsr,edsr_x4,1.0,0.0,39.822178345949325,0.975595120885561,70.14159989356995,512,512
kodim07,0.3,edsr,edsr_x4,1.0,0.0,39.56345716229603,0.9745951865451179,74.59575605392456,512,512
kodim08,0.05,edsr,edsr_x4,1.0,0.0,37.5704148077509,0.985355106777376,75.27273321151733,512,512
kodim08,0.1,edsr,edsr_x4,1.0,0.0,37.405282154339005,0.9848825085931292,69.77573990821838,512,512
kodim08,0.2,edsr,edsr_x4,1.0,0.0,37.052715268837574,0.983879538672222,72.40460705757141,512,512
kodim08,0.3,edsr,edsr_x4,1.0,0.0,36.71903129667526,0.9828770582187479,65.40851926803589,512,512
kodim09,0.05,edsr,edsr_x4,1.0,0.0,41.55656258423019,0.9744408483444725,42.792809009552,512,512
kodim09,0.1,edsr,edsr_x4,1.0,0.0,41.45259384208886,0.9740838328028354,43.32461619377136,512,512
kodim09,0.2,edsr,edsr_x4,1.0,0.0,41.25142444704927,0.9733237480119796,43.528690814971924,512,512
